OBJECTID,Site_Name,State,Operational_Status,Reporting_Component,Is_Joint_Base,latitude,longitude
569,Pico Del Este - AFWTF,pr,clsd,usn,no,18.2685,-65.75875
570,NSGA Sabana Seca PR,pr,clsd,usn,no,18.427500000000002,-66.1885
571,Det Concord (BRAC),ca,care,usn,no,37.99764705882353,-121.98841176470587
572,NAS JRB Willow Grove PA,pa,care,usn,no,40.20725,-75.15025
573,CSO NAS South Weymouth,ma,care,usn,no,42.15675,-70.9345
574,NAS Brunswick ME,me,care,usn,no,43.90423529411765,-69.93658823529411
575,Melrose Air Force Range,nm,act,usaf,no,34.30875,-103.7794375
577,Ellsworth AFB,sd,act,usaf,no,44.141615384615385,-103.08938461538459
579,Eareckson Air Station,ak,act,usaf,no,52.7266,174.10860000000002
580,Air Force Plant 6,ga,act,usaf,no,33.91858333333334,-84.526
581,Barry M Goldwater Range,az,act,usaf,no,32.886199999999995,-112.7284
582,Gen Mitchell IAP,wi,act,airNationalGuard,no,42.94225,-87.888
583,Duluth IAP,mn,act,airNationalGuard,no,46.84125,-92.19389285714284
584,Mansfield Lahm Airport ANG 179th AW,oh,act,airNationalGuard,no,40.812250000000006,-82.51725
585,Alpena County Regional Airport,mi,act,airNationalGuard,no,45.071,-83.56450000000001
586,Point Arena Air Force Station,ca,care,usaf,no,38.89175,-123.54825000000001
587,McClellan AFB,ca,clsd,usaf,no,38.668166666666664,-121.40583333333332
588,Malmstrom Air Force Base,mt,act,usaf,no,47.50170000000001,-111.1922
589,Fort Smith Map,ar,act,airNationalGuard,no,35.306076923076915,-94.25438461538462
590,Tucson IAP,az,act,airNationalGuard,no,32.132000000000005,-110.94899999999998
591,Hector IAP,nd,act,airNationalGuard,no,46.9135,-96.80175
592,McEntire Joint National Guard Base,sc,act,airNationalGuard,no,33.919999999999995,-80.79322222222224
593,Minot Air Force Base,nd,act,usaf,no,48.426700000000004,-101.33669999999998
594,Fresno Yosemite International ANG,ca,act,airNationalGuard,no,36.77633333333333,-119.71541666666667
595,Great Falls IAP,mt,act,airNationalGuard,no,47.47725,-111.364
596,Montgomery Regional Airport ANGB,al,act,airNationalGuard,no,32.305,-86.40350000000001
597,McLaughlin ANGB,wv,act,airNationalGuard,no,38.3735,-81.5885
598,New Castle Airport,de,act,airNationalGuard,no,39.686875,-75.5975
599,Jacksonville IAP,fl,act,airNationalGuard,no,30.225375,-81.83637499999999
600,Hancock Field,ny,act,airNationalGuard,no,43.1105,-76.09475
601,Bangor IAP,me,act,airNationalGuard,no,44.8185,-68.829
602,General Wayne A Downing Peoria IAP,il,act,airNationalGuard,no,40.66525,-89.70774999999998
603,Hulman Fld,in,act,airNationalGuard,no,39.4513125,-87.2970625
604,Toledo/Exp Airport,oh,act,airNationalGuard,no,41.591375,-83.7955
605,Truax ANGB,wi,act,airNationalGuard,no,43.1315,-89.332375
606,Volk ANGB,wi,act,airNationalGuard,no,44.050250000000005,-90.185875
607,Hardwood Range,wi,act,airNationalGuard,no,44.23933333333334,-90.0595
608,Smoky Hill ANG Range,ks,act,airNationalGuard,no,38.678000000000004,-97.83354545454546
609,Capital Airport,il,act,airNationalGuard,no,39.8475,-89.66725
610,Salt Lake City IAP,ut,act,airNationalGuard,no,40.79225,-111.9565
611,Goldwater ANGB,az,act,airNationalGuard,no,33.426249999999996,-112.0125
612,Portland IAP ANG,or,act,airNationalGuard,no,45.579375,-122.592375
613,Lincoln Map,ne,act,airNationalGuard,no,40.842000000000006,-96.753
614,Rickenbacker,oh,act,airNationalGuard,no,39.813,-82.94475
615,Quonset State Airport,ri,act,airNationalGuard,no,41.594500000000004,-71.41550000000001
616,Ellington Field Joint Reserve Base,tx,act,airNationalGuard,no,29.605000000000004,-95.16916666666668
617,Stewart IAP,ny,act,airNationalGuard,no,41.501999999999995,-74.08375000000001
618,Pease ANGB NH,nh,act,airNationalGuard,no,43.0895,-70.81525
619,Arbuckle Airfield,fl,act,usaf,no,27.661199999999997,-81.34920000000001
620,Avon Park AF Range,fl,act,usaf,no,27.66480952380953,-81.31242857142858
622,Nashville IAP,tn,act,airNationalGuard,no,36.110499999999995,-86.67475
623,Birmingham Airport,al,act,airNationalGuard,no,33.573625,-86.753875
624,Bradley IAP,ct,act,airNationalGuard,no,41.936,-72.69975000000001
625,Forbes Field ANG,ks,act,airNationalGuard,no,38.949375,-95.68225
626,Cheyenne Regional Airport,wy,act,airNationalGuard,no,41.161812499999996,-104.8168125
627,Des Moines IAP,ia,act,airNationalGuard,no,41.545,-93.66525
628,Luis Munoz Marin IAP,pr,act,usaf,no,18.440624999999997,-65.99462500000001
629,Joe Foss Field,sd,act,airNationalGuard,no,43.58416666666667,-96.74149999999999
630,Jackson IAP Thompson Field,ms,act,airNationalGuard,no,32.321083333333334,-90.08241666666667
631,Martin State Airport,md,act,airNationalGuard,no,39.334,-76.4175
632,Memphis IAP,tn,act,airNationalGuard,no,35.02775,-89.96700000000001
633,Gulfport-Biloxi Regional Airport (ANG),ms,act,airNationalGuard,no,30.40925,-89.06174999999999
634,Channel Islands ANG Station,ca,act,airNationalGuard,no,34.13725,-119.112
635,Louisville IAP-Standiford FL Site 1,ky,act,airNationalGuard,no,38.177,-85.72175
636,Reno Tahoe IAP,nv,act,airNationalGuard,no,39.5,-119.77374999999999
637,Springfield Beckley,oh,act,airNationalGuard,no,39.849,-83.836
638,Schenectady ANG MAP,ny,act,airNationalGuard,no,42.849000000000004,-73.92625000000001
639,Will Rogers World Airport,ok,act,airNationalGuard,no,35.4065,-97.611
