OBJECTID,Site_Name,State,latitude,longitude,Cluster,Temp (°F),Humidity (%),Feels Like (°F),Precip (in),Rain (in),Snow (in),Weather Code,Cloud Cover (%),Pressure MSL,Surface Press.,Wind Speed (mph),Wind Dir (°),Wind Gusts (mph),Temperature 2M Max (7d),Temperature 2M Min (7d),Temperature 2M Mean (7d),Apparent Temperature Max (7d),Apparent Temperature Min (7d),Precipitation Sum (7d),Rain Sum (7d),Snowfall Sum (7d),Wind Speed 10M Max (7d),Wind Gusts 10M Max (7d),Sunshine Duration (7d),Uv Index Max (7d),Shortwave Radiation Sum (7d),Precipitation Hours (7d),Et0 Fao Evapotranspiration (7d),Temp (°F) (z-score),Humidity (%) (z-score),Feels Like (°F) (z-score),Precip (in) (z-score),Rain (in) (z-score),Snow (in) (z-score),Weather Code (z-score),Cloud Cover (%) (z-score),Pressure MSL (z-score),Surface Press. (z-score),Wind Speed (mph) (z-score),Wind Dir (°) (z-score),Wind Gusts (mph) (z-score),Temperature 2M Max (7d) (z-score),Temperature 2M Min (7d) (z-score),Temperature 2M Mean (7d) (z-score),Apparent Temperature Max (7d) (z-score),Apparent Temperature Min (7d) (z-score),Precipitation Sum (7d) (z-score),Rain Sum (7d) (z-score),Snowfall Sum (7d) (z-score),Wind Speed 10M Max (7d) (z-score),Wind Gusts 10M Max (7d) (z-score),Sunshine Duration (7d) (z-score),Uv Index Max (7d) (z-score),Shortwave Radiation Sum (7d) (z-score),Precipitation Hours (7d) (z-score),Et0 Fao Evapotranspiration (7d) (z-score),Temp (°F) (rank),Humidity (%) (rank),Feels Like (°F) (rank),Precip (in) (rank),Rain (in) (rank),Snow (in) (rank),Weather Code (rank),Cloud Cover (%) (rank),Pressure MSL (rank),Surface Press. (rank),Wind Speed (mph) (rank),Wind Dir (°) (rank),Wind Gusts (mph) (rank),Temperature 2M Max (7d) (rank),Temperature 2M Min (7d) (rank),Temperature 2M Mean (7d) (rank),Apparent Temperature Max (7d) (rank),Apparent Temperature Min (7d) (rank),Precipitation Sum (7d) (rank),Rain Sum (7d) (rank),Snowfall Sum (7d) (rank),Wind Speed 10M Max (7d) (rank),Wind Gusts 10M Max (7d) (rank),Sunshine Duration (7d) (rank),Uv Index Max (7d) (rank),Shortwave Radiation Sum (7d) (rank),Precipitation Hours (7d) (rank),Et0 Fao Evapotranspiration (7d) (rank)
640,Kingsley Field Cantonement Site 1,or,42.1599375,-121.7386875,1,31.1,74.0,25.4,0.0,0.0,0.0,2.0,67.0,1013.6,869.2,2.0,6.0,13.2,47.17142857142857,32.92857142857143,38.75714285714286,40.34285714285714,26.67142857142857,0.0375714285714285,0.0375714285714285,0.0,9.671428571428573,17.87142857142857,25129.631428571425,2.878571428571429,8.49,1.7142857142857142,0.0484285714285714,-1.0344915058703583,0.6495168598375299,-0.9290839596952631,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,-0.04875618080324411,0.17591051138900612,-0.5925513292291961,-2.3885700101393565,-1.3750427046890816,-2.1351673493172987,-0.29660036878967067,-0.447608003417029,-0.3598980017219057,-0.45130292844144904,-0.4784998854981296,-0.33706382414447505,-0.21464559330988764,-0.0343292587407123,-0.26270765697318604,-0.5860915648272517,-0.6843420630076519,-0.6566392492273915,-0.9511465373339708,-1.2482013979031625,-0.1440822680449074,-0.8256070038659276,732,247,697,6,2,5,398,434,640,782,779,819,442,561,525,548,561,485,342,234,133,624,669,637,750,764,384,644
153,Letterkenny Army Depot,pa,40.009380952380944,-77.6732380952381,1,31.0,61.0,23.5,0.0,0.0,0.0,3.0,99.0,1015.3,986.5,5.9,205.0,13.4,39.72857142857144,23.085714285714285,30.457142857142856,31.91428571428571,15.842857142857143,0.0,0.0,0.0,9.5,18.97142857142857,29452.527142857143,3.4214285714285717,12.405714285714286,0.0,0.0492857142857142,-1.039670625859891,-0.10789927368953528,-1.0145842593160657,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,0.12745036736286613,0.969207649118665,-0.2824392833559854,0.04796424535808533,-0.5920329524495039,0.2318260879826104,-0.2737358628599588,-0.8904207188469112,-0.9122138854065193,-0.9395741916901786,-0.9087075930613274,-0.8601768690867065,-0.6481414771677897,-0.5141152977073766,-0.26270765697318604,-0.6376591948125865,-0.48893191353101134,0.20008008096130042,-0.4744161560911534,0.12181767435009389,-0.9462700306733105,-0.8030375364632409,735,440,726,6,2,5,7,248,543,535,565,365,429,667,703,692,668,697,617,526,133,639,582,397,620,419,617,639
383,Bridgeport,ca,38.35551428571429,-119.52719999999998,1,31.0,73.0,25.1,0.0,0.0,0.0,3.0,100.0,1012.1,783.4,2.2,6.0,3.6,36.642857142857146,22.685714285714287,29.15714285714285,30.3,13.44285714285714,0.0992857142857143,0.0261428571428571,0.5088571428571428,12.0,23.75714285714286,31562.74,4.35,13.21,5.0,0.0558571428571428,-1.039670625859891,0.591254080335448,-0.9425840070038107,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,0.12745036736286613,0.9939981846727168,-0.866179604999687,-4.1707919975364645,-1.3348883584203852,-2.1351673493172987,-1.394096653415834,-1.07400526113646,-0.9346592333646747,-1.0160504136447992,-0.9911033065437702,-0.976117491184721,0.49740848207647853,-0.18027178009939337,4.034982566754565,0.1143687424735423,0.3612291263998266,0.6182859006281096,0.341043706561034,0.4032188920365529,1.3934442769928652,-0.6300049530426317,735,264,705,6,2,5,7,1,706,820,772,819,799,699,707,704,689,715,159,282,15,280,199,247,230,289,73,589
573,CSO NAS South Weymouth,ma,42.15675,-70.9345,1,31.0,48.0,24.0,0.0,0.0,0.0,0.0,12.0,1017.9,1012.1,3.5,225.0,9.8,34.58571428571428,17.642857142857142,26.057142857142857,27.814285714285717,8.642857142857142,0.0188571428571428,0.005,0.0974285714285714,10.385714285714286,23.17142857142857,31779.204285714284,3.814285714285714,12.948571428571428,1.1428571428571428,0.0395714285714285,-1.039670625859891,-0.8653154072166005,-0.992084180468486,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,-0.40116927713546463,-1.187568944083845,0.19184972797953648,0.5797227870523274,-1.0738851076738594,0.469714875650943,-0.68529696959477,-1.1963949559961595,-1.2176309415514217,-1.198416789075047,-1.1179781219946114,-1.2079987353807498,-0.43056939857751203,-0.45026544461295354,0.5601516166321835,-0.3712264398883579,0.2571795662888877,0.6611851862282843,-0.12941390650753587,0.3117510006748795,-0.41147818892104177,-1.0588248336937052,735,669,718,6,2,5,600,621,372,264,697,237,601,740,745,746,730,754,444,439,73,504,242,227,444,332,458,718
535,Naval Research Laboratory – Tilghman,md,38.678,-76.3435,1,30.9,55.0,24.8,0.0,0.0,0.0,3.0,100.0,1017.9,1017.9,2.4,214.0,7.6,39.22857142857144,28.942857142857143,33.285714285714285,31.314285714285717,19.714285714285715,0.0,0.0,0.0,13.342857142857143,21.3,34489.05,3.9642857142857135,14.40857142857143,0.0,0.0575714285714285,-1.0448497458494235,-0.45747595070202696,-0.9560840543123585,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,0.12745036736286613,0.9939981846727168,0.19184972797953648,0.700199331654928,-1.294734012151689,0.33887604243336006,-0.9368065348215994,-0.9201682141253102,-0.5835498617335272,-0.7731753790856202,-0.9393325485149785,-0.6731536036786,-0.6481414771677897,-0.5141152977073766,-0.26270765697318604,0.5183151773586631,-0.07527146723630522,1.1982273354491237,0.002314225151663265,0.8225716835799611,-0.9462700306733105,-0.5848660182372559,738,546,709,6,2,5,7,1,372,126,760,302,677,674,618,654,678,646,617,526,133,171,413,45,355,101,617,578
689,Joint Base Cape Cod,ma,41.68747058823529,-70.537,1,30.9,51.0,23.5,0.0,0.0,0.0,0.0,3.0,1018.4,1011.9,5.0,234.0,6.5,35.47142857142857,21.485714285714288,28.714285714285715,27.25714285714286,12.071428571428571,0.0245714285714285,0.0097142857142857,0.1044285714285714,11.885714285714286,21.74285714285714,31237.66857142857,3.642857142857143,12.751428571428573,0.7142857142857143,0.0452857142857142,-1.0448497458494235,-0.6905270687103547,-1.0145842593160657,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,-0.40116927713546463,-1.4106837640703116,0.2830591532363668,0.5755684234453402,-0.7727275106586373,0.5767648301016927,-1.062561317435014,-1.1436993929315669,-1.0019952772391414,-1.042102752991977,-1.1464155806301448,-1.0423692752407292,-0.3646384656713673,-0.3900641545524976,0.6192720043252379,0.07999032248331939,0.003400151384159748,0.5538626540462258,-0.2799603426894781,0.24277521374640518,-0.6120251295781425,-0.9083617176757851,738,606,726,6,2,5,600,701,321,271,619,189,710,726,717,711,740,722,407,400,69,291,367,275,533,367,497,668
193,NG Training Site,nh,43.275,-71.12349999999999,1,30.7,33.0,23.0,0.0,0.0,0.0,0.0,2.0,1017.2,994.5,3.7,107.0,4.9,33.51428571428571,12.985714285714286,23.67142857142857,25.314285714285717,4.585714285714286,0.054,0.0158571428571428,0.2677142857142857,9.428571428571429,21.857142857142858,31181.777142857143,3.542857142857143,12.684285714285712,1.0,0.0392857142857142,-1.0552079858284884,-1.7392570997478296,-1.0370843381636452,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,-0.40116927713546463,-1.4354742996243635,0.06415653261998647,0.21413878963753583,-1.0337307614051632,-0.9338289715922192,-1.2454773648727078,-1.260139588735586,-1.478958921349947,-1.338763262332427,-1.2455821030514922,-1.4039935965464407,-0.02509416120472014,-0.3116200493222069,1.9983455376550585,-0.6591457073064758,0.023702504576538514,0.5427859891406247,-0.3677790971289442,0.21928346022728587,-0.47832716914007534,-1.0663479894946015,740,777,733,6,2,5,600,712,448,461,688,659,766,756,783,780,769,781,275,347,29,651,350,280,568,379,467,722
671,Joint Base McGuire-Dix-Lakehurst,nj,40.00552941176471,-74.52201960784313,1,30.7,84.0,24.0,0.0,0.0,0.0,3.0,100.0,1019.0,1014.9,5.0,122.0,8.5,36.85714285714285,24.67142857142857,30.02857142857143,29.014285714285712,16.385714285714283,0.0101428571428571,0.0101428571428571,0.0,10.6,22.428571428571427,31523.53,3.957142857142857,13.308571428571428,0.1428571428571428,0.047,-1.0552079858284884,1.2321446548583495,-0.992084180468486,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,0.12745036736286613,0.9939981846727168,0.39251046354456737,0.6378838775501341,-0.7727275106586373,-0.7554123808409698,-0.8339162581378965,-1.0612563345885757,-0.8232341131438312,-0.9647861329938995,-1.0567282110873089,-0.8339522045645368,-0.5311140712593829,-0.3845913100015474,-0.26270765697318604,-0.30676690240668997,0.1252142705384292,0.6105151915578698,-0.003958543022583923,0.4377067855007898,-0.8794210504542769,-0.8632227828704068,740,83,718,6,2,5,7,1,281,202,619,628,661,693,691,697,705,687,491,393,133,461,297,252,358,271,589,656
971,Constitution Island,ny,41.40625,-73.95325,1,30.7,51.0,22.6,0.0,0.0,0.0,2.0,63.0,1017.1,1016.6,5.9,143.0,9.6,35.18571428571429,16.97142857142857,26.12857142857143,28.214285714285715,9.5,0.0067142857142857,0.0045714285714285,0.0157142857142857,8.72857142857143,17.97142857142857,30469.131428571425,3.7857142857142856,12.827142857142857,0.4285714285714285,0.0407142857142857,-1.0552079858284884,-0.6905270687103547,-1.0550844012417089,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,-0.04875618080324411,0.07674836917279879,0.045914647568616254,0.6731959682095183,-0.5920329524495039,-0.5056291537892206,-0.7081614755244819,-1.1606979616620803,-1.2553070613383255,-1.19421479885776,-1.0975614850255107,-1.1665913703457444,-0.5706726310030695,-0.455738289163905,-0.12998841929490068,-0.8697135297465917,-0.6665775039643207,0.40155256613967616,-0.15450497920452616,0.2692659145232825,-0.7457230900162097,-1.0287322104901195,740,606,739,6,2,5,398,443,459,174,565,598,616,728,754,745,723,746,512,442,110,727,659,321,455,353,523,705
173,NG MTA Camp Curtis Guil,ma,42.55075,-71.07175,1,30.6,56.0,24.1,0.0,0.0,0.0,0.0,13.0,1018.1,1013.5,3.4,217.0,8.9,33.885714285714286,15.8,25.37142857142857,27.61428571428572,7.414285714285714,0.0382857142857142,0.013,0.1771428571428571,7.942857142857143,23.24285714285714,32171.071428571428,3.835714285714286,12.93142857142857,1.7142857142857142,0.039,-1.0603871058180208,-0.399213171199945,-0.98758416469897,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,-0.40116927713546463,-1.1627784085297932,0.2283334980822769,0.6088033323012307,-1.0939622808082075,0.37455936058360995,-0.7881872462784729,-1.238041449385918,-1.321039866072924,-1.2387558951610007,-1.1281864404791617,-1.2673492919309237,-0.20640422669661965,-0.3481056796618765,1.233400113218395,-1.1060651671793753,0.2698685370341237,0.738846128878852,-0.11059560198479274,0.3057531061593597,-0.1440822680449074,-1.0738711452954952,743,531,716,6,2,5,600,618,359,235,707,287,646,753,761,757,733,757,339,364,46,772,234,195,436,335,384,724
736,Brooklyn NY,ny,40.582,-73.87925,1,30.6,60.0,23.4,0.0,0.0,0.0,3.0,92.0,1018.6,1018.1,5.6,175.0,7.6,35.5,27.142857142857142,31.24285714285714,27.228571428571428,17.014285714285712,0.0,0.0,0.0,14.328571428571427,21.31428571428572,32733.87,3.835714285714286,14.15857142857143,0.0,0.0562857142857142,-1.0603871058180208,-0.16616205319161723,-1.0190842750855815,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,0.12745036736286613,0.795673900240302,0.3195429233391072,0.7043536952619153,-0.6522644718525484,-0.12500709351988848,-0.9368065348215994,-1.1419995360585153,-0.6845539275452273,-0.8933522993000236,-1.1478739118422236,-0.8035868035388662,-0.6481414771677897,-0.5141152977073766,-0.26270765697318604,0.8148290497743362,-0.072733673087257,0.8503825727380134,-0.11059560198479274,0.7351023885619677,-0.9462700306733105,-0.6187202193412884,743,454,728,6,2,5,7,334,310,117,587,509,677,725,654,681,742,682,617,526,133,128,410,149,436,127,617,585
248,Tobyhanna Army Depot,pa,41.196666666666665,-75.42666666666666,1,30.5,72.0,22.7,0.0,0.0,0.0,3.0,90.0,1014.4,939.7,6.6,192.0,17.2,30.728571428571428,13.62857142857143,22.3,22.685714285714287,3.557142857142857,0.0041428571428571,0.003,0.0,13.514285714285714,29.27142857142857,27349.92857142857,3.4785714285714286,11.724285714285717,1.0,0.0332857142857142,-1.0655662258075533,0.5329913008333661,-1.050584385472193,-0.05743455520946168,-0.034857808718787506,-0.05103689408508195,0.12745036736286613,0.7460928291321984,-0.44661624881827583,-0.9241568386766991,-0.451492740509067,0.07719837599819421,0.16068974980456413,-1.425875633858095,-1.4428860407029112,-1.4194414745043342,-1.3797485745627267,-1.4536824345884467,-0.6003415508108351,-0.47580538585072274,-0.26270765697318604,0.5698828073439974,1.3408176679320742,-0.2166167257225101,-0.4242340106971728,-0.11659863264180718,-0.47832716914007534,-1.2243342613134178,745,274,737,6,2,5,7,345,609,722,519,441,310,789,778,788,789,792,537,464,133,167,49,532,599,509,467,759
