OBJECTID,Country,Feature Description,Feature Name,Controlled Unclassified Information Indicator,Is FIRRMA Site,Is Joint Base,Media Identifier,Primary Key Identifier,Globally Unique Identifier,Site Name,Site Operational Status,Site Reporting Component Code,State Name Code,Shape__Area,Shape__Length,latitude,longitude,elevation,geocoded_name
831,usa,na,NG Macon TS,no,no,no,na, ,,NG Macon TS,act,armyNationalGuard,mo,0.0013271118730244,0.345442250449128,,,,
835,usa,na,NG Martindale - AASF,no,no,no,na, ,,NG Martindale - AASF,act,armyNationalGuard,tx,8.21721264401276e-05,0.0465109584665991,,,,
836,usa,na,NG McNary Field Salem AASF,no,no,no,na, ,,NG McNary Field Salem AASF,act,armyNationalGuard,or,3.66048238902295e-05,0.0378320826889561,,,,
837,usa,na,NG MTA Camp Crowder Neosho,no,no,no,na, ,,NG MTA Camp Crowder Neosho,act,armyNationalGuard,mo,0.0018151074914385,0.294154909500931,,,,
838,usa,na,NG MTA Camp Fretterd,no,no,no,na, ,,NG MTA Camp Fretterd,act,armyNationalGuard,md,0.0002488814693606,0.075421396367796,,,,
839,usa,na,NG MTA Camp Rilea,no,no,no,na, ,,NG MTA Camp Rilea,act,armyNationalGuard,or,0.0008542024834241,0.155900113473371,,,,
840,usa,na,Camp Shelby,no,yes,no,na, ,,Camp Shelby,act,armyNationalGuard,ms,0.0529580470306428,1.77161848466369,31.18185,-89.24839,89.0,Camp Shelby Lake Dam
841,usa,na,NG MTA Clarks Hill Reservation,no,no,no,na, ,,NG MTA Clarks Hill Reservation,act,armyNationalGuard,sc,0.0003412990811284,0.235892625167881,,,,
842,usa,na,NG MTA Gunpowder Military Reservation,no,no,no,na, ,,NG MTA Gunpowder Military Reservation,act,armyNationalGuard,md,0.0001075241857506,0.0525047669889782,,,,
843,usa,na,NG MTA Limestone Hills,no,no,no,na, ,,NG MTA Limestone Hills,act,armyNationalGuard,mt,0.0100722980087085,0.525475430430742,,,,
844,usa,na,NG MTA Limestone Hills,no,no,no,na, ,,NG MTA Limestone Hills,act,armyNationalGuard,mt,0.0100722980087085,0.525475430430742,,,,
845,usa,na,NG MTCH Camp Guernsey,no,no,no,na, ,,NG MTCH Camp Guernsey,act,armyNationalGuard,wy,0.0348660632325846,2.3123445595337,,,,
846,usa,na,NG New Castle Readiness Center/FMS 9,no,no,no,na, ,,NG New Castle Readiness Center/FMS 9,act,armyNationalGuard,pa,2.94007008960762e-06,0.0069141970915776,,,,
847,usa,na,NG Oglethorpe Armory,no,no,no,na, ,,NG Oglethorpe Armory,act,armyNationalGuard,ga,1.2737261613438e-05,0.0185544620293562,,,,
848,usa,na,NG Papago Military Reservation,no,no,no,na, ,,NG Papago Military Reservation,act,armyNationalGuard,az,0.0001532204249545,0.0772419390178563,,,,
849,usa,na,NG Picacho Aviation TS,no,no,no,na, ,,NG Picacho Aviation TS,act,armyNationalGuard,az,0.0001278299937439,0.0481269390764888,,,,
850,usa,na,NG River Road Training Site,no,no,no,na, ,,NG River Road Training Site,act,armyNationalGuard,de,8.16215979284607e-05,0.0406804345713735,,,,
851,usa,na,NG Saginaw,no,no,no,na, ,,NG Saginaw,act,armyNationalGuard,tx,5.74977361793572e-05,0.0457203856811029,32.86013,-97.36391,222.0,Saginaw
852,usa,na,NG Salina KS Training Center,no,no,no,na, ,,NG Salina KS Training Center,act,armyNationalGuard,ks,2.93077398509922e-05,0.0704517823918402,,,,
853,usa,na,NG Silver Bell Army Heliport,no,no,no,na, ,,NG Silver Bell Army Heliport,act,armyNationalGuard,az,6.21982956090505e-05,0.0359257227842722,,,,
854,usa,na,NG Sioux Falls Benson Rd Complex,no,no,no,na, ,,NG Sioux Falls Benson Rd Complex,act,armyNationalGuard,sd,7.62129884345417e-05,0.0766080658076592,,,,
855,usa,na,NG Stones Ranch Military Res,no,no,no,na, ,,NG Stones Ranch Military Res,act,armyNationalGuard,ct,0.0008134872073242,0.237370760654364,,,,
856,usa,na,NG TS Ethan Allen Range,no,no,no,na, ,,NG TS Ethan Allen Range,act,armyNationalGuard,vt,0.0051026114622948,0.353908857303917,,,,
857,usa,na,NG TS Ike Skelton Jefferson City,no,no,no,na, ,,NG TS Ike Skelton Jefferson City,act,armyNationalGuard,mo,0.000197040467583,0.0705099763695972,,,,
858,usa,na,NG Volkstone,no,no,no,na, ,,NG Volkstone,act,armyNationalGuard,wv,0.0002135635704689,0.0998505346960541,,,,
859,usa,na,NG VTS Milan,no,no,no,na, ,,NG VTS Milan,act,armyNationalGuard,tn,0.0075104273378201,0.497671200312217,,,,
860,usa,na,NG WH Ford Regional Tng Ctr,no,no,no,na, ,,NG WH Ford Regional Tng Ctr,act,armyNationalGuard,ky,0.0045615170805449,0.909284864494367,,,,
861,usa,na,NGA Arnold Site,no,no,no,na, ,30eef157-8e89-410b-9d05-54e4426e370f,NGA Arnold Site,act,usaf,mo,1.43635290896782e-05,0.0160406895945336,,,,
862,usa,na,Naval Support Facility Carderock,no,yes,no,na, ,f54c18ba-2705-4ae5-9b8a-0e001ba74d64,Naval Support Facility Carderock,act,usn,md,7.65676559240092e-05,0.0554686167151447,,,,
863,usa,na,Pearl City Annex,no,no,no,na, ,5b50ccf6-921d-4bd2-a04c-73f112751086,Pearl City Annex,act,usmc,hi,9.56426249676401e-06,0.0133774775858452,,,,
864,usa,na,Pillar Point Space Force Station,no,no,no,na, ,f8c87c1f-1b0e-4613-8428-f33667ed455f,Pillar Point Space Force Station,act,usaf,ca,2.61435347965744e-05,0.0314086528297114,,,,
865,usa,na,Puuloa-Oahu,no,no,no,na, ,825b244d-cb60-456c-bb96-2d0a08df63c4,Puuloa-Oahu,act,usmc,hi,5.57723864249913e-05,0.0345103301280267,,,,
866,usa,na,Rome Research Laboratory,no,yes,no,na, ,95bd0963-22af-488b-8561-5001d072d13a,Rome Research Laboratory,act,usaf,ny,4.59076943570835e-05,0.0379458498743128,,,,
867,usa,na,Tropic Regions Test Center,no,yes,no,na, ,,Tropic Regions Test Center,act,usa,hi,0.0053033086616371,0.682786823261,,,,
868,usa,na,Seward Recreation Area,no,no,no,na, ,,Seward Recreation Area,act,usa,ak,7.73169085732661e-06,0.0111280567864918,,,,
869,usa,na,Townsend Bombing Range,no,yes,no,na, ,bb439f5b-bdfb-42f6-853b-186bc76c6963,Townsend Bombing Range,act,usmc,ga,0.0212490268665988,2.93250972337072,,,,
870,usa,na,USAF Academy Site 2,no,no,no,na, ,7081c0f9-7efa-4d11-8b4c-7460dd922be2,USAF Academy Site 2,act,usaf,co,0.0056797948743678,0.418143856799975,,,,
871,usa,na,Waianae Kai Military Reservation,no,no,no,na, ,,Waianae Kai Military Reservation,act,usa,hi,4.69360269650387e-06,0.0157672738280028,,,,
872,usa,na,Watervliet Arsenal,no,yes,no,na, ,,Watervliet Arsenal,act,usa,ny,5.90741549331142e-05,0.0481293841906522,,,,
873,usa,na,Wheeler Army Airfield,no,no,no,na, ,,Wheeler Army Airfield,act,usa,hi,0.0004894678970052,0.124368108818258,21.47515,-158.03395,264.0,Wheeler Army Airfield
874,usa,na,White Bluff,no,no,no,na, ,2b7005ec-ff0c-4c7c-be08-55b2d46660ad,White Bluff,act,usaf,wa,4.20059650423354e-05,0.0314449258830689,46.66653,-119.48475,126.0,White Bluffs
875,usa,na,Yermo Area,no,no,no,na, ,da4fdd20-8566-4ada-9fd5-9c708b0c8058,Yermo Area,act,usmc,ca,0.000674742281717,0.149377748542948,,,,
876,usa,na,Youngstown,no,no,no,na, ,71570d25-3a4e-4afb-9431-516aefbc7467,Youngstown,act,afr,oh,2.42337205236254e-06,0.0073531582746937,41.09978,-80.64952,259.0,Youngstown
877,usa,na,1LT John A Fera USARC,no,no,no,na, ,,1LT John A Fera USARC,act,usar,ma,5.30079523741733e-06,0.0175936361857686,,,,
887,usa,na,1SG Robert L Kuhn USARC,no,no,no,na, ,,1SG Robert L Kuhn USARC,act,usar,ks,6.31832926956122e-06,0.0110303564830468,,,,
888,usa,na,NNSY Scott Center,no,no,no,na, ,ba7b8cac-9d0e-4962-84e9-1312690f93da,NNSY Scott Center,act,usn,va,2.5534253742944e-05,0.0212643023617055,,,,
889,usa,na,Paradise Creek North,no,no,no,na, ,d092d0b0-a1e2-4496-81dc-e744a76bcccc,Paradise Creek North,act,usn,va,3.98777691828257e-05,0.036427261452049,,,,
891,usa,na,NAVRESCEN Schenectady,no,no,no,na, ,58a9d554-d4ac-404f-8cbe-df7fea46ef2e,NAVRESCEN Schenectady,act,usn,ny,8.14689133221691e-06,0.0158108912138153,,,,
892,usa,na,Outdoor Recreation Ctr,no,no,no,na, ,8e2a65f0-7327-44d7-be1d-8986196df96d,Outdoor Recreation Ctr,act,usn,ny,1.78390766905068e-05,0.0222465010771706,,,,
895,usa,na,Racon Hill,no,no,no,na, ,395aae2d-551b-4ecf-855f-621c0a478721,Racon Hill,act,usn,wa,1.12726584120537e-05,0.017190615447495,,,,
896,usa,na,NOLF Harold,no,no,no,na, ,9c64e630-4e19-4227-81f5-5b7f0f84c0f9,NOLF Harold,act,usn,fl,0.0002183757392231,0.0589145341227802,30.65908,-86.88024,45.0,Harold
897,usa,na,DLA - DRMS,no,no,no,na, ,7868b6e5-1abf-4eee-8ddb-07a5d9bbaab0,DLA - DRMS,act,usn,fl,5.0776668558683e-06,0.0172461084400517,,,,
898,usa,na,Riverine Range,no,no,no,na, ,74abdb86-eb0d-40d4-bbc5-60faafbcc180,Riverine Range,act,usn,ms,0.0019987134259977,0.252727565738988,,,,
899,usa,na,NRC-MCRC Tallahassee,no,no,no,na, ,1c85549d-ee89-4f87-b0ca-3386c6d50ab3,NRC-MCRC Tallahassee,act,usnr,fl,5.00744727105484e-06,0.0110638297990156,,,,
900,usa,na,Lake Allatoona Area,no,no,no,na, ,46303c5e-6957-48cb-af78-72e2136eb085,Lake Allatoona Area,act,usn,ga,6.83903226672555e-06,0.0109741497869058,,,,
901,usa,na,Tillie Fowler Park,no,no,no,na, ,017e0c52-0c06-4377-91ba-e0c87d35772c,Tillie Fowler Park,act,usn,fl,0.0001909971724671,0.0863113324912348,,,,
902,usa,na,Cecil Field NADEP,no,no,no,na, ,399e51c1-7d58-496b-87b6-9f792e46c528,Cecil Field NADEP,act,usn,fl,8.2772096448025e-06,0.0271754852882788,,,,
903,usa,na,Dixie Valley,no,no,no,na, ,a9c50e28-0550-46bc-bd3f-6f191a61361c,Dixie Valley,act,usn,nv,0.0336089095453644,2.41754610869228,39.6877,-118.08069,1047.0,Dixie Valley
905,usa,na,Santa Rosa Parcel A,no,no,no,na, ,ad132e68-e278-43d5-afd9-3e7fb91929c5,Santa Rosa Parcel A,act,usn,gu,1.86576609398359e-06,0.0060916870343653,,,,
906,usa,na,TR SI Saddlebunch Keys,no,no,no,na, ,89506c91-c17e-4084-b915-d94d806b0bde,TR SI Saddlebunch Keys,act,usn,fl,0.0002159175288625,0.155614882219804,,,,
907,usa,na,NAVRESCEN W Palm Beach,no,no,no,na, ,02ef7bc8-8875-441a-bf07-99c9a602536a,NAVRESCEN W Palm Beach,act,usnr,fl,2.85741271000006e-06,0.011021102322879,,,,
