OBJECTID,Site_Name,State,latitude,longitude,elevation,Is_Joint_Base,Operational_Status,Reporting_Component,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m,current_time,timezone,Cluster
84,Fort Meade,md,39.10815,-76.74323,53.0,no,act,usa,35.2,71,29.7,1,0.0,0.0,0.0,0.0,3,100,1018.1,1011.4,2.6,195,5.4,2026-02-10T11:45,America/New_York,2
87,Fort Hamilton,ny,40.61872,-74.0332,20.0,no,act,usa,31.1,61,24.0,1,0.0,0.0,0.0,0.0,2,64,1019.3,1016.0,4.9,114,5.8,2026-02-10T11:45,America/New_York,2
88,Fort Cavazos,tx,31.13489,-97.77561,273.0,no,act,usa,66.2,84,64.6,1,0.0,0.0,0.0,0.0,3,100,1017.1,985.1,13.0,196,23.5,2026-02-10T10:45,America/Chicago,0
90,Fort Hunter Liggett,ca,36.01024,-121.23854,325.0,no,act,usar,50.0,92,48.9,1,0.0,0.0,0.0,0.0,3,100,1009.7,971.4,1.1,281,7.2,2026-02-10T08:45,America/Los_Angeles,1
92,Fort Jackson,sc,34.01296,-80.71221,81.0,no,act,usa,62.9,66,61.1,1,0.0,0.0,0.0,0.0,0,10,1019.9,1010.1,8.0,247,20.6,2026-02-10T11:45,America/New_York,3
93,Fort Knox,ky,37.89113,-85.96363,225.0,no,act,usa,58.3,89,54.2,1,0.0,0.0,0.0,0.0,0,8,1013.6,987.0,13.8,224,29.3,2026-02-10T11:45,America/New_York,5
96,Fort Leonard Wood,mo,37.70573,-92.15717,333.0,no,act,usa,69.2,59,66.4,1,0.0,0.0,0.0,0.0,0,1,1011.6,972.9,9.7,289,19.9,2026-02-10T10:45,America/Chicago,5
98,Fort McCoy,wi,43.98552,-90.69097,277.0,no,act,usar,36.6,76,27.5,1,0.0,0.0,0.0,0.0,3,100,1014.6,980.6,11.9,310,23.9,2026-02-10T10:45,America/Chicago,8
99,Fort Monroe,va,37.00399,-76.30739,3.0,no,care,usa,45.8,44,38.5,1,0.0,0.0,0.0,0.0,0,5,1019.7,1019.6,8.2,206,13.9,2026-02-10T11:45,America/New_York,9
102,Fort Johnson,la,42.95841,-74.23291,94.0,no,act,usa,23.2,59,14.1,1,0.0,0.0,0.0,0.0,3,83,1016.1,1000.0,7.2,85,9.4,2026-02-10T11:45,America/New_York,2
103,Fort Riley,ks,39.11081,-96.81392,406.0,no,act,usa,45.6,40,33.1,1,0.0,0.0,0.0,0.0,0,0,1018.7,969.8,17.8,15,29.5,2026-02-10T10:45,America/Chicago,6
105,Fort Shafter,hi,21.34411,-157.88628,22.0,no,act,usa,74.7,79,75.2,0,0.0,0.0,0.0,0.0,3,100,1020.4,1018.4,15.0,67,30.9,2026-02-10T06:45,Pacific/Honolulu,0
106,Fort Sill,ok,34.66591,-98.382,344.0,no,act,usa,55.3,45,43.7,1,0.0,0.0,0.0,0.0,3,93,1014.8,973.8,19.4,339,25.1,2026-02-10T10:45,America/Chicago,8
107,Fort Stewart,ga,31.87217,-81.61001,24.0,no,act,usa,65.2,70,64.7,1,0.0,0.0,0.0,0.0,0,15,1022.5,1019.4,7.8,268,12.5,2026-02-10T11:45,America/New_York,3
122,NG Hammond Airport,la,40.91307,-81.25864,351.0,no,act,armyNationalGuard,39.8,63,26.6,1,0.0,0.0,0.0,0.0,0,0,1010.1,967.8,21.4,191,34.2,2026-02-10T11:45,America/New_York,6
125,Helemano Military Reservation,hi,21.53602,-158.01894,315.0,no,act,usa,69.7,82,69.7,0,0.0,0.0,0.0,0.0,3,95,1020.8,981.8,12.1,79,49.0,2026-02-10T06:45,Pacific/Honolulu,0
135,Iowa Army Ammunition Plant,ia,40.78254,-91.25293,183.0,no,act,usa,45.2,63,34.0,1,0.0,0.0,0.0,0.0,0,11,1015.0,992.4,17.9,342,27.5,2026-02-10T10:45,America/Chicago,8
