OBJECTID,Site_Name,State,latitude,longitude,Operational_Status,Reporting_Component,Is_Joint_Base,timezone,current_time,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m
329,Davis-Monthan Air Force Base,az,32.1641,-110.85,act,usaf,no,America/Phoenix,2026-02-10T10:30,70.2,28.0,62.3,1.0,0.0,0.0,0.0,0.0,1.0,21.0,1015.2,922.8,11.9,216.0,14.5
330,Seymour Johnson Air Force Base,nc,35.34583333333333,-77.96066666666667,act,usaf,no,America/New_York,2026-02-10T12:30,59.0,51.0,55.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1018.7,1014.4,6.5,243.0,10.1
331,Charlotte/Douglas IAP,nc,35.2155,-80.92975,act,airNationalGuard,no,America/New_York,2026-02-10T12:30,63.2,37.0,59.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.0,991.6,5.6,220.0,12.3
332,Dare County Range,nc,35.70469999999999,-75.8884,act,usaf,no,America/New_York,2026-02-10T12:30,58.3,49.0,53.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1019.3,1019.2,8.3,207.0,16.8
333,Blakeslee Air Force Recreation Area,nc,33.9815,-77.916,act,usaf,no,America/New_York,2026-02-10T12:30,62.8,53.0,57.4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1020.0,1018.7,13.2,222.0,19.9
334,St Louis Air Force Station,mo,38.590625,-90.208375,act,usaf,no,America/Chicago,2026-02-10T11:30,66.3,63.0,62.8,1.0,0.0,0.0,0.0,0.0,0.0,13.0,1011.6,994.9,11.6,286.0,18.6
335,W K Kellogg,mi,42.316,-85.25099999999999,act,airNationalGuard,no,America/Detroit,2026-02-10T12:30,39.8,80.0,31.8,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1008.7,974.5,10.9,281.0,25.1
336,Eglin AFB Site 2 Santa Rosa Island,fl,30.396,-86.706,act,usaf,no,America/Chicago,2026-02-10T11:30,66.2,88.0,70.2,1.0,0.0,0.0,0.0,0.0,1.0,44.0,1022.4,1022.3,3.7,163.0,11.0
338,Poinsett Electronic Combat Range,sc,33.80416666666667,-80.48199999999999,act,usaf,no,America/New_York,2026-02-10T12:30,66.9,55.0,65.0,1.0,0.0,0.0,0.0,0.0,2.0,51.0,1019.5,1011.1,8.2,244.0,19.5
339,New Boston Air Station,nh,42.9388,-71.6366,act,usaf,no,America/New_York,2026-02-10T12:30,34.6,25.0,27.3,1.0,0.0,0.0,0.0,0.0,2.0,50.0,1017.0,997.4,2.4,214.0,2.9
340,Hurlburt Field,fl,30.43683333333333,-86.69816666666667,act,usaf,no,America/Chicago,2026-02-10T11:30,68.3,79.0,70.0,1.0,0.0,0.0,0.0,0.0,1.0,40.0,1022.3,1020.9,5.7,201.0,11.6
341,Robins AFB,ga,32.6198,-83.5846,act,usaf,no,America/New_York,2026-02-10T12:30,60.6,86.0,60.0,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1022.5,1011.9,6.2,240.0,13.9
342,Joint Base Andrews,md,38.81033333333334,-76.87150000000001,act,usaf,yes,America/New_York,2026-02-10T12:30,41.4,62.0,35.8,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1017.5,1007.8,3.2,98.0,6.0
343,Vance Air Force Base,ok,36.3323,-97.9154,act,usaf,no,America/Chicago,2026-02-10T11:30,50.0,48.0,37.4,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1016.5,969.8,21.4,7.0,32.2
344,Newington Defense Fuel Support Point,nh,43.106,-70.7955,act,usaf,no,America/New_York,2026-02-10T12:30,28.0,65.0,21.5,1.0,0.0,0.0,0.0,0.0,1.0,25.0,1017.6,1017.6,2.9,212.0,4.3
345,Mountain Home Air Force Base,id,43.0524,-115.87179999999998,act,usaf,no,America/Boise,2026-02-10T10:30,37.8,55.0,26.2,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1022.1,914.3,15.4,129.0,27.7
346,Clear Space Force Station,ak,64.29242857142857,-149.16028571428572,act,usaf,no,America/Anchorage,2026-02-10T08:30,-36.5,72.0,-45.9,0.0,0.0,0.0,0.0,0.0,1.0,43.0,1007.5,982.0,4.3,55.0,7.6
348,Cavalier Space Force Station,nd,48.72475,-97.90525,act,usaf,no,America/Chicago,2026-02-10T11:30,26.1,72.0,14.8,1.0,0.0,0.0,0.0,0.0,2.0,58.0,1021.9,976.7,13.8,333.0,20.1
349,DFAS Annex,me,46.933,-67.8945,act,usaf,no,America/New_York,2026-02-10T12:30,20.8,78.0,13.2,1.0,0.0,0.0,0.0,0.0,0.0,15.0,1015.4,988.9,4.3,305.0,7.6
350,Saylor Creek Air Force Range,id,42.6998,-115.5409,act,usaf,no,America/Boise,2026-02-10T10:30,35.5,75.0,24.6,1.0,0.0,0.0,0.0,0.0,1.0,46.0,1021.3,889.2,15.5,101.0,25.1
351,Cannon AFB Site 2,nm,34.4095,-103.3285,act,usaf,no,America/Denver,2026-02-10T10:30,52.1,34.0,40.4,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1016.1,869.0,18.0,46.0,22.8
352,Pittsburgh IAP ARS,pa,40.495125,-80.211,act,afr,no,America/New_York,2026-02-10T12:30,44.1,70.0,36.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.1,969.6,11.9,192.0,28.9
353,Arnold Air Force Base,tn,35.35376,-86.06388000000001,act,usaf,no,America/Chicago,2026-02-10T11:30,64.2,75.0,61.3,1.0,0.0,0.0,0.0,0.0,1.0,49.0,1017.3,978.9,11.6,210.0,24.4
354,Scott Air Force Base,il,38.544,-89.857,act,usaf,no,America/Chicago,2026-02-10T11:30,67.5,59.0,63.6,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1011.6,996.0,12.2,276.0,19.5
