OBJECTID,Site_Name,State,latitude,longitude,Operational_Status,Reporting_Component,Is_Joint_Base,timezone,current_time,current_temperature_2m,current_relative_humidity_2m,current_apparent_temperature,current_is_day,current_precipitation,current_rain,current_showers,current_snowfall,current_weather_code,current_cloud_cover,current_pressure_msl,current_surface_pressure,current_wind_speed_10m,current_wind_direction_10m,current_wind_gusts_10m,daily_temperature_2m_max_7day_avg,daily_temperature_2m_min_7day_avg,daily_temperature_2m_mean_7day_avg,daily_apparent_temperature_max_7day_avg,daily_apparent_temperature_min_7day_avg,daily_precipitation_sum_7day_avg,daily_rain_sum_7day_avg,daily_snowfall_sum_7day_avg,daily_wind_speed_10m_max_7day_avg,daily_wind_gusts_10m_max_7day_avg,daily_sunshine_duration_7day_avg,daily_uv_index_max_7day_avg,daily_shortwave_radiation_sum_7day_avg,daily_precipitation_hours_7day_avg,daily_et0_fao_evapotranspiration_7day_avg,Cluster
233,Shell Basefield AL,al,31.36375,-85.85,act,usa,no,America/Chicago,2026-02-10T11:30,66.5,77.0,65.3,1.0,0.0,0.0,0.0,0.0,3.0,98.0,1022.2,1007.9,9.9,231.0,13.9,68.58571428571429,52.05714285714286,59.6,66.0,48.285714285714285,0.054285714285714284,0.04357142857142857,0.0,10.5,23.32857142857143,27072.494285714285,4.4714285714285715,12.057142857142859,1.5714285714285714,0.09028571428571429,0
234,Sierra Army Depot,ca,40.21045454545455,-120.13772727272726,act,usa,no,America/Los_Angeles,2026-02-10T09:30,44.1,40.0,35.2,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1013.6,875.2,8.7,113.0,14.5,49.75714285714286,35.542857142857144,42.142857142857146,43.971428571428575,29.271428571428572,0.08042857142857142,0.07928571428571429,0.007857142857142858,8.414285714285715,19.342857142857145,29043.899999999998,3.442857142857143,10.471428571428572,2.142857142857143,0.06142857142857143,1
237,Skelly Stagefield AL,al,31.28725,-86.131,act,usa,no,America/Chicago,2026-02-10T11:30,65.4,81.0,64.9,1.0,0.0,0.0,0.0,0.0,3.0,100.0,1022.3,1015.1,8.7,228.0,13.9,69.35714285714286,53.0,60.24285714285714,67.41428571428571,49.24285714285714,0.05457142857142857,0.040428571428571425,0.0,10.571428571428571,22.228571428571428,26452.842857142856,4.435714285714286,11.98,1.8571428571428572,0.09185714285714286,0
238,NG Camp Beauregard,la,31.3755,-92.3945,act,armyNationalGuard,no,America/Chicago,2026-02-10T11:30,70.1,73.0,69.8,1.0,0.0,0.0,0.0,0.0,3.0,96.0,1020.2,1015.2,9.8,210.0,17.7,72.97142857142858,55.614285714285714,63.58571428571429,73.60000000000001,53.642857142857146,0.11471428571428573,0.04157142857142857,0.0,10.842857142857143,23.985714285714288,28087.054285714286,4.857142857142857,12.367142857142857,2.7142857142857144,0.09285714285714286,0
239,Combat Capabilities Development Command Soldier Center,ma,42.2895,-71.36275,act,usa,no,America/New_York,2026-02-10T12:30,32.1,57.0,24.9,1.0,0.0,0.0,0.0,0.0,2.0,50.0,1017.6,1010.9,5.1,218.0,9.4,36.07142857142857,19.228571428571428,27.3,28.87142857142857,10.642857142857142,0.012428571428571428,0.002285714285714286,0.067,10.299999999999999,22.442857142857143,31154.841428571428,3.5785714285714287,12.627142857142857,0.8571428571428571,0.041999999999999996,1
240,NG Sparta Armory,il,38.154,-89.72887499999999,act,armyNationalGuard,no,America/Chicago,2026-02-10T11:30,69.3,65.0,68.3,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1011.6,995.2,8.8,263.0,19.0,57.42857142857143,37.75714285714286,45.971428571428575,51.457142857142856,31.014285714285712,0.0,0.0,0.0,10.228571428571428,23.842857142857145,33915.10857142857,3.857142857142857,12.515714285714285,0.0,0.08199999999999999,1
241,NG Spring City Readiness Center,pa,40.19025,-75.5555,act,armyNationalGuard,no,America/New_York,2026-02-10T12:30,32.5,63.0,25.4,1.0,0.0,0.0,0.0,0.0,3.0,90.0,1017.3,1009.1,4.6,151.0,10.1,34.2,18.085714285714285,25.47142857142857,26.714285714285715,9.885714285714286,0.001142857142857143,0.001142857142857143,0.0,9.957142857142857,18.357142857142858,31266.98,4.228571428571429,13.842857142857143,0.14285714285714285,0.04057142857142857,1
242,NG Springfield (TS Cp Lincoln),il,39.82525,-89.66874999999999,act,armyNationalGuard,no,America/Chicago,2026-02-10T11:30,53.5,53.0,45.2,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1012.2,992.8,13.4,327.0,19.9,53.542857142857144,33.34285714285714,42.92857142857143,46.199999999999996,26.300000000000004,0.0,0.0,0.0,10.157142857142857,21.885714285714283,34754.30857142857,3.7214285714285715,13.292857142857143,0.0,0.07942857142857143,1
243,NG St Cloud AASF,mn,45.53975,-94.05525,act,armyNationalGuard,no,America/Chicago,2026-02-10T11:30,30.0,78.0,17.2,1.0,0.0,0.0,0.0,0.0,3.0,86.0,1019.7,981.2,18.7,315.0,29.3,36.68571428571429,24.714285714285715,30.67142857142857,30.814285714285713,17.142857142857142,0.0,0.0,0.0,9.314285714285715,22.571428571428573,28797.83142857143,3.414285714285714,10.08,0.0,0.03471428571428571,1
244,NG St Cloud NG Armory,mn,45.565,-94.176,act,armyNationalGuard,no,America/Chicago,2026-02-10T11:30,29.8,78.0,18.0,1.0,0.0,0.0,0.0,0.0,2.0,77.0,1019.8,980.3,16.3,316.0,27.7,36.871428571428574,25.2,31.014285714285712,31.057142857142857,17.571428571428573,0.0,0.0,0.0,9.12857142857143,22.25714285714286,29454.600000000002,3.414285714285714,10.14,0.0,0.03528571428571429,1
